"","word","score","invscore","prior"
"1","abiu",7,0.142857142857143,0.00464501625610621
"2","abius",100,0.01,0.000325151137927435
"3","acai",7,0.142857142857143,0.00464501625610621
"4","acais",100,0.01,0.000325151137927435
"5","acerola",7,0.142857142857143,0.00464501625610621
"6","acerolas",100,0.01,0.000325151137927435
"7","ackee",7,0.142857142857143,0.00464501625610621
"8","african cherry orange",7,0.142857142857143,0.00464501625610621
"9","african cherry oranges",100,0.01,0.000325151137927435
"10","akebi",7,0.142857142857143,0.00464501625610621
"11","akebis",100,0.01,0.000325151137927435
"12","american mayapple",7,0.142857142857143,0.00464501625610621
"13","american mayapples",100,0.01,0.000325151137927435
"14","apple",1.18,0.847457627118644,0.0275551811802911
"15","apples",100,0.01,0.000325151137927435
"16","apricot",2.46,0.40650406504065,0.0132175259320095
"17","apricots",100,0.01,0.000325151137927435
"18","araza",7,0.142857142857143,0.00464501625610621
"19","arazas",100,0.01,0.000325151137927435
"20","avocado",5.28,0.189393939393939,0.0061581654910499
"21","avocados",100,0.01,0.000325151137927435
"22","banana",1.7,0.588235294117647,0.0191265375251432
"23","bananas",100,0.01,0.000325151137927435
"24","bell pepper",7,0.142857142857143,0.00464501625610621
"25","bell peppers",100,0.01,0.000325151137927435
"26","berries",1000,0.001,3.25151137927435e-05
"27","berry",2.96,0.337837837837838,0.0109848357407917
"28","bilberries",100,0.01,0.000325151137927435
"29","bilberry",7,0.142857142857143,0.00464501625610621
"30","black sapote",7,0.142857142857143,0.00464501625610621
"31","black sapotes",100,0.01,0.000325151137927435
"32","blackberries",100,0.01,0.000325151137927435
"33","blackberry",7,0.142857142857143,0.00464501625610621
"34","blackcurrant",7,0.142857142857143,0.00464501625610621
"35","blackcurrants",100,0.01,0.000325151137927435
"36","blood orange",7,0.142857142857143,0.00464501625610621
"37","blood oranges",100,0.01,0.000325151137927435
"38","blueberries",100,0.01,0.000325151137927435
"39","blueberry",2.62,0.381679389312977,0.0124103487758563
"40","boysenberries",100,0.01,0.000325151137927435
"41","boysenberry",7,0.142857142857143,0.00464501625610621
"42","breadfruit",7,0.142857142857143,0.00464501625610621
"43","breadfruits",100,0.01,0.000325151137927435
"44","buddhas hand",7,0.142857142857143,0.00464501625610621
"45","buddhas hands",100,0.01,0.000325151137927435
"46","cactus pear",7,0.142857142857143,0.00464501625610621
"47","cactus pears",100,0.01,0.000325151137927435
"48","canistel",7,0.142857142857143,0.00464501625610621
"49","canistels",100,0.01,0.000325151137927435
"50","cantaloupe",2.88,0.347222222222222,0.0112899700669248
"51","cantaloupes",100,0.01,0.000325151137927435
"52","cashew",7,0.142857142857143,0.00464501625610621
"53","cashews",100,0.01,0.000325151137927435
"54","caviar lime",7,0.142857142857143,0.00464501625610621
"55","caviar limes",100,0.01,0.000325151137927435
"56","cempedak",7,0.142857142857143,0.00464501625610621
"57","cempedaks",100,0.01,0.000325151137927435
"58","cherimoya",7,0.142857142857143,0.00464501625610621
"59","cherimoyas",100,0.01,0.000325151137927435
"60","cherries",100,0.01,0.000325151137927435
"61","cherry",2.02,0.495049504950495,0.0160965909865067
"62","chico fruit",7,0.142857142857143,0.00464501625610621
"63","chico fruits",100,0.01,0.000325151137927435
"64","chile pepper",7,0.142857142857143,0.00464501625610621
"65","chile peppers",100,0.01,0.000325151137927435
"66","clementine",7,0.142857142857143,0.00464501625610621
"67","clementines",100,0.01,0.000325151137927435
"68","cloudberries",100,0.01,0.000325151137927435
"69","cloudberry",7,0.142857142857143,0.00464501625610621
"70","coco de mer",7,0.142857142857143,0.00464501625610621
"71","coco de mers",100,0.01,0.000325151137927435
"72","coconut",4.78,0.209205020920502,0.0068023250612434
"73","coconuts",100,0.01,0.000325151137927435
"74","corn kernel",7,0.142857142857143,0.00464501625610621
"75","corn kernels",100,0.01,0.000325151137927435
"76","crab apple",7,0.142857142857143,0.00464501625610621
"77","crab apples",100,0.01,0.000325151137927435
"78","cranberries",100,0.01,0.000325151137927435
"79","cranberry",7,0.142857142857143,0.00464501625610621
"80","cucumber",7,0.142857142857143,0.00464501625610621
"81","cucumbers",100,0.01,0.000325151137927435
"82","currant",7,0.142857142857143,0.00464501625610621
"83","currants",100,0.01,0.000325151137927435
"84","damson",7,0.142857142857143,0.00464501625610621
"85","damsons",100,0.01,0.000325151137927435
"86","date palm|date",7,0.142857142857143,0.00464501625610621
"87","dates",100,0.01,0.000325151137927435
"88","dragonfruit",7,0.142857142857143,0.00464501625610621
"89","dragonfruits",100,0.01,0.000325151137927435
"90","durian",7,0.142857142857143,0.00464501625610621
"91","durians",100,0.01,0.000325151137927435
"92","egg fruit",7,0.142857142857143,0.00464501625610621
"93","egg fruits",100,0.01,0.000325151137927435
"94","eggplant",7,0.142857142857143,0.00464501625610621
"95","eggplants",100,0.01,0.000325151137927435
"96","elderberries",100,0.01,0.000325151137927435
"97","elderberry",7,0.142857142857143,0.00464501625610621
"98","falsas",100,0.01,0.000325151137927435
"99","feijoa",7,0.142857142857143,0.00464501625610621
"100","feijoas",100,0.01,0.000325151137927435
"101","fig",4.32,0.231481481481481,0.00752664671128321
"102","figs",100,0.01,0.000325151137927435
"103","finger lime",7,0.142857142857143,0.00464501625610621
"104","finger limes",100,0.01,0.000325151137927435
"105","galia melon",7,0.142857142857143,0.00464501625610621
"106","galia melons",100,0.01,0.000325151137927435
"107","goji berries",100,0.01,0.000325151137927435
"108","goji berry",7,0.142857142857143,0.00464501625610621
"109","gooseberries",100,0.01,0.000325151137927435
"110","gooseberry",7,0.142857142857143,0.00464501625610621
"111","grape",2.1,0.476190476190476,0.015483387520354
"112","grapefruit",2.26,0.442477876106195,0.0143872184923644
"113","grapefruits",100,0.01,0.000325151137927435
"114","grapes",100,0.01,0.000325151137927435
"115","grewia asiatica phalsa or falsa",7,0.142857142857143,0.00464501625610621
"116","guava",7,0.142857142857143,0.00464501625610621
"117","guavas",100,0.01,0.000325151137927435
"118","hala fruit",7,0.142857142857143,0.00464501625610621
"119","hala fruits",100,0.01,0.000325151137927435
"120","honeyberries",100,0.01,0.000325151137927435
"121","honeyberry",7,0.142857142857143,0.00464501625610621
"122","honeydew",7,0.142857142857143,0.00464501625610621
"123","honeydews",100,0.01,0.000325151137927435
"124","huckleberries",100,0.01,0.000325151137927435
"125","huckleberry",7,0.142857142857143,0.00464501625610621
"126","jabuticaba",7,0.142857142857143,0.00464501625610621
"127","jabuticabas",100,0.01,0.000325151137927435
"128","jackfruit",7,0.142857142857143,0.00464501625610621
"129","jackfruits",100,0.01,0.000325151137927435
"130","jalapeño",7,0.142857142857143,0.00464501625610621
"131","jalapeños",100,0.01,0.000325151137927435
"132","jambul",7,0.142857142857143,0.00464501625610621
"133","jambuls",100,0.01,0.000325151137927435
"134","japanese plum",7,0.142857142857143,0.00464501625610621
"135","japanese plums",100,0.01,0.000325151137927435
"136","jostaberries",100,0.01,0.000325151137927435
"137","jostaberry",7,0.142857142857143,0.00464501625610621
"138","jujube",7,0.142857142857143,0.00464501625610621
"139","jujubes",100,0.01,0.000325151137927435
"140","juniper berries",100,0.01,0.000325151137927435
"141","juniper berry",7,0.142857142857143,0.00464501625610621
"142","kaffir lime",7,0.142857142857143,0.00464501625610621
"143","kaffir limes",100,0.01,0.000325151137927435
"144","kiwano",7,0.142857142857143,0.00464501625610621
"145","kiwanos",100,0.01,0.000325151137927435
"146","kiwifruit",7,0.142857142857143,0.00464501625610621
"147","kiwifruits",100,0.01,0.000325151137927435
"148","kumquat",7,0.142857142857143,0.00464501625610621
"149","kumquats",100,0.01,0.000325151137927435
"150","lemon",2.58,0.387596899224806,0.0126027572840091
"151","lemons",100,0.01,0.000325151137927435
"152","lime",3.24,0.308641975308642,0.0100355289483776
"153","limes",100,0.01,0.000325151137927435
"154","loganberries",100,0.01,0.000325151137927435
"155","loganberry",7,0.142857142857143,0.00464501625610621
"156","longan",7,0.142857142857143,0.00464501625610621
"157","longans",100,0.01,0.000325151137927435
"158","loquat",7,0.142857142857143,0.00464501625610621
"159","loquats",100,0.01,0.000325151137927435
"160","lulo",7,0.142857142857143,0.00464501625610621
"161","lulos",100,0.01,0.000325151137927435
"162","lychee",7,0.142857142857143,0.00464501625610621
"163","lychees",100,0.01,0.000325151137927435
"164","magellan barberries",100,0.01,0.000325151137927435
"165","magellan barberry",7,0.142857142857143,0.00464501625610621
